net,length_um
_0885_,1312.985
_0916_,1063.62
_1787_,1049.74
_0914_,1011.035
_0887_,930.12
net13,918.37
_0745_,866.56
_0770_,847.055
net817,814.965
_0875_,809.15
_0747_,799.66
net812,795.8
_2174_,795.08
_0828_,788.36
_0867_,772.63
_1534_,763.68
_0861_,743.09
_2387_,734.28
_0769_,733.795
_0755_,714.405
_1714_,704.92
net816,700.565
net815,698.435
_0833_,697.475
_0754_,696.36
_0819_,678.13
_1152_,673.73
net814,666.9
net74,665.995
_1273_,626.88
_1725_,619.71
_2258_,612.105
clknet_0_clk,609.43
_2071_,600.6
_1144_,596.99
net813,588.98
net819,588.455
_2571_,580.915
net818,577.09
_1661_,563.385
_2740_,549.4
_0836_,532.085
_0864_,528.325
_0756_,524.22
_1655_,521.08
_2592_,519.625
_2738_,509.88
_0837_,500.95
_1666_,483.32
_2469_,482.28
_1258_,474.99
_0722_,472.975
_1004_,470.17
_0855_,457.215
_2336_,450.56
_0834_,441.21
net49,440.25
_1665_,435.96
_0996_,433.29
_2144_,432.18
_1138_,426.6
net19,419
clknet_3_1__leaf_clk,418.425
clknet_3_0__leaf_clk,410
clknet_3_6__leaf_clk,400.75
clknet_3_3__leaf_clk,400.31
clknet_3_4__leaf_clk,400.14
_1392_,394.52
_0734_,379.01
net72,375.89
net50,372.84
_2600_,366.2
net75,359.92
clknet_3_5__leaf_clk,359.48
net14,353.32
net76,339.97
_1145_,339.315
_1399_,335.88
clknet_3_7__leaf_clk,334.58
_0730_,329.08
clknet_3_2__leaf_clk,328.09
net52,326.26
clk,318.7
_1275_,315.75
_3130_,310.86
_2463_,308.65
net71,308.13
_0758_,305.81
_1818_,299.14
_0913_,297.915
_0866_,297.35
net73,297.045
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.w_buffer\[0\],296.07
_2478_,292.915
_3132_,292.9
_1524_,289.67
_0827_,288.62
_2743_,287.515
_1407_,283.275
net10,278.78
net51,275.19
_0728_,274.92
net45,272.98
net57,271.59
_3397_,270.585
net21,269.1
_1812_,261.2
_3134_,259.78
_2345_,259.74
_1009_,259.15
_3126_,258.44
_3269_,258.185
_1816_,258
_2029_,257.87
_1814_,256.28
net38,255
_2992_,251.83
_3110_,249.555
net16,248.36
_3412_,248.02
_1847_,243.58
net5,241.46
_3239_,239.68
net17,234.44
_1820_,234.075
_3382_,234.06
_0729_,232.93
_1672_,229.085
_3427_,228.04
_1536_,227.66
net6,227.4
_1808_,226.3
_0869_,226.055
_3208_,225.98
_2611_,225.65
_2009_,222.28
net3,220.81
_0990_,218.83
_3128_,216.64
net47,216.05
u_fsm.psum_shift_en,215.69
_3224_,214.54
_1796_,208.81
_2873_,206.835
net58,205.62
_1985_,204.49
_3366_,203.48
_2017_,203.045
_0832_,201.245
_1993_,198.63
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.w_reg\[0\],197.72
_2158_,195.525
_1810_,194.44
_0788_,193.26
net18,191.14
net32,189.26
_0992_,189.14
_0764_,189.12
net60,186.38
net12,183.2
_0766_,182.46
_3254_,181.54
net55,178.62
net1,176.08
net35,174.16
_2001_,169.02
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.w_reg\[0\],168.675
_0768_,168.58
net33,167.04
net34,162.68
_2273_,160.445
_0988_,159.68
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.w_reg\[0\],156.04
_2322_,155.96
_1977_,155.63
clknet_leaf_0_clk,154.12
_1806_,153.835
net24,153.32
_2330_,152.93
net37,148.74
net9,148.09
_0787_,146.63
_3120_,146.04
net56,146.02
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[3\],144.45
_0762_,139.94
net105,138.18
net11,137.4
clknet_leaf_92_clk,137.06
_2314_,136.445
_1830_,136.06
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.w_buffer\[0\],134.51
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[2\],134.38
_1126_,133.1
_0986_,132.83
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.w_reg\[0\],132.275
clknet_leaf_42_clk,131.04
net29,130.18
_1834_,127.22
clknet_leaf_93_clk,126.86
_1826_,125.72
_2298_,125.7
clknet_leaf_2_clk,124.52
_2306_,124.2
net27,124.12
_3122_,123.76
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.move_reg\[8\],123.62
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.move_reg\[7\],122.54
_3124_,121.74
_0743_,120.075
clknet_leaf_3_clk,119.795
net25,119.62
net26,117.86
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[4\],117.705
_1130_,117.66
clknet_leaf_25_clk,117.38
_1832_,116.94
net54,116.68
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.move_reg\[6\],116.46
_1973_,115.815
clknet_leaf_17_clk,115.175
net2,114.8
net31,114.62
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.w_buffer\[0\],114.38
_1829_,114.18
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.w_reg\[0\],113.92
_2290_,113.72
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[5\],112.94
_0844_,112.85
clknet_leaf_27_clk,111.26
_3287_,110.26
_1825_,109.58
net8,109.38
net69,108.72
clknet_leaf_79_clk,108.64
_0741_,108.5
_3283_,106.64
_1802_,104.54
net63,104.04
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.w_reg\[0\],103.82
clknet_leaf_22_clk,103.42
clknet_leaf_37_clk,103.4
net15,101.4
clknet_leaf_39_clk,101.16
clknet_leaf_26_clk,100.56
clknet_leaf_12_clk,100.46
clknet_leaf_62_clk,99.56
clknet_leaf_78_clk,99.44
clknet_leaf_64_clk,98.72
clknet_leaf_48_clk,98.16
_3284_,97.2
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.w_reg\[0\],97.17
clknet_leaf_4_clk,96.46
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.act_val\[4\],95.48
net22,95.08
net65,94.94
_1971_,94.825
net61,94.68
_1800_,94.335
net7,93.82
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[5\],93.8
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.w_reg\[0\],93.76
_3103_,93.24
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.w_reg\[0\],92.245
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.w_reg\[0\],91.98
net53,91.86
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.w_reg\[0\],90.975
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[7\],90.86
_3166_,90.72
