net,length_um
_0994_,90.32
net28,90.18
clknet_leaf_90_clk,90.16
_1788_,89.8
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.w_buffer\[1\],89.64
clknet_leaf_36_clk,89.3
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[1\],89.2
_1128_,89.06
clknet_leaf_7_clk,88.95
_3116_,86.7
net67,86.61
clknet_leaf_5_clk,86.58
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.w_reg\[0\],86.54
_1960_,86.175
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[0\],85.98
_3114_,85.86
_1972_,85.85
_1804_,85.32
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.psum_out\[11\],85.135
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[1\],84.88
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[12\],84.77
clknet_leaf_41_clk,84.76
clknet_leaf_47_clk,84.18
net48,83.96
net30,83.34
clknet_leaf_29_clk,82.44
_3112_,82.3
net103,82.22
_0717_,81.96
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[0\],81.51
clknet_leaf_9_clk,81.48
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[11\],81.28
clknet_leaf_40_clk,80.84
_0760_,80.78
u_pe_array.u_fifo1.rd_ptr\[2\],80.78
u_pe_array.u_fifo2.rd_ptr\[0\],80.75
_1965_,80.68
_2286_,80.355
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.act_val\[2\],80.32
_1122_,80.14
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[7\],80.14
clknet_leaf_14_clk,79.74
_0739_,78.86
net39,78.78
clknet_leaf_80_clk,78.74
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.w_reg\[0\],78.605
_1966_,78.32
clknet_leaf_51_clk,78.08
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.psum_out\[7\],77.74
clknet_leaf_89_clk,77.535
clknet_leaf_56_clk,77.46
_3118_,77.36
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.w_reg\[0\],77.3
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[7\],77.24
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[4\],77.24
net4,76.22
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[4\],75.485
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.w_reg\[0\],75.445
clknet_leaf_81_clk,74.84
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.move_reg\[9\],74.54
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.w_buffer\[1\],74.52
clknet_leaf_61_clk,74.3
_3106_,74.16
_3194_,73.66
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[0\],73.58
clknet_leaf_23_clk,73.52
clknet_leaf_87_clk,73.48
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.act_val\[4\],73.46
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[7\],73.405
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.psum_out\[7\],73.37
_1798_,73.34
_1001_,72.88
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[6\],72.62
u_pe_array.u_fifo1.rd_ptr\[0\],72.26
_1132_,72.22
clknet_leaf_38_clk,72.04
_2278_,71.985
_3324_,71.46
clknet_leaf_77_clk,71.36
clknet_leaf_45_clk,71.24
_0842_,71.165
clknet_leaf_19_clk,70.94
_1970_,70.36
net70,70.28
clknet_leaf_21_clk,69.94
clknet_leaf_83_clk,69.88
clknet_leaf_85_clk,69.86
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[8\],69.82
clknet_leaf_65_clk,69.82
clknet_leaf_20_clk,69.76
clknet_leaf_1_clk,69.6
clknet_leaf_76_clk,68.98
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[3\],68.82
net46,68.36
clknet_leaf_67_clk,67.72
_1828_,67.62
_2279_,67.06
clknet_leaf_8_clk,67.04
_0851_,66.685
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[6\],66.38
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.w_reg\[0\],66.345
_2285_,66.06
_2333_,66
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[2\],65.8
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[7\],65.38
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.move_reg\[12\],64.52
_1792_,64.46
_3288_,64.46
net23,64.35
_2283_,64.28
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[5\],64.14
clknet_leaf_52_clk,63.88
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.move_reg\[10\],63.64
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[0\],63.64
u_pe_array.u_fifo1.wr_ptr\[1\],63.4
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[1\],63.18
_1969_,63.105
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[4\],63.02
clknet_leaf_75_clk,63.02
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.w_reg\[1\],62.7
clknet_leaf_13_clk,62.66
_1962_,61.86
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.act_val\[3\],61.84
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[9\],61.73
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[1\],61.7
_0719_,61.67
u_pe_array.u_fifo2.rd_ptr\[1\],61.605
clknet_leaf_16_clk,61.52
clknet_leaf_30_clk,61.42
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[4\],61.08
net59,61.02
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.move_reg\[10\],60.98
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[0\],60.95
_2280_,60.86
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.act_val\[2\],60.86
net68,60.755
_2307_,60.72
net66,60.62
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.psum_out\[7\],60.54
_0863_,60.5
clknet_leaf_91_clk,60.44
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[5\],60.22
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[11\],60.205
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[2\],59.76
_2726_,59.36
_1964_,59.02
clknet_leaf_63_clk,58.98
net64,58.76
net62,58.66
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[9\],58.64
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[1\],58.64
clknet_leaf_53_clk,58.62
_1789_,58.54
clknet_leaf_66_clk,58.48
clknet_leaf_82_clk,58.48
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[5\],58.46
clknet_leaf_86_clk,58.195
u_pe_array.u_fifo1.rd_ptr\[1\],58.09
_1124_,57.96
_0721_,57.72
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[2\],57.52
_3306_,57.5
_2282_,57.44
clknet_leaf_58_clk,57.4
clknet_leaf_35_clk,57.36
_0761_,57.14
_2727_,57.11
clknet_leaf_54_clk,57.02
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.w_buffer\[0\],57
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.move_reg\[11\],56.9
_0718_,56.5
clknet_leaf_34_clk,56.36
_0763_,56.3
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.act_val\[0\],56.22
clknet_leaf_24_clk,56.18
clknet_leaf_44_clk,56.14
u_pe_array.u_fifo2.wr_ptr\[1\],56.12
_0848_,56.115
_2284_,56.07
_3146_,56.005
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.psum_out\[7\],55.92
_1002_,55.82
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.move_reg\[9\],55.82
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.act_val\[0\],55.82
net20,55.5
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[2\],55.48
_0846_,54.5
clknet_leaf_49_clk,54.38
clknet_leaf_88_clk,53.92
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.w_reg\[1\],53.84
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.act_val\[5\],53.68
clknet_leaf_70_clk,53.6
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.act_val\[5\],53.54
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.act_val\[3\],53.26
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[6\],53.24
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[1\],53.18
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.move_reg\[9\],53.12
_0838_,53.045
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.act_val\[1\],52.49
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[3\],52.48
clknet_leaf_6_clk,52.22
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.move_reg\[12\],52.1
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[0\],51.84
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[1\],51.64
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.w_reg\[1\],51.6
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.move_reg\[6\],51.16
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.psum_out\[10\],51.14
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[5\],50.92
_2315_,50.58
clknet_leaf_10_clk,50.38
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.psum_out\[10\],50.34
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[8\],50.27
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[7\],50.155
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[9\],50.06
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[5\],50
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[2\],49.92
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[2\],49.88
clknet_leaf_32_clk,49.86
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[8\],49.78
clknet_leaf_18_clk,49.73
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.psum_out\[7\],49.68
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[2\],49.555
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.psum_out\[7\],49.515
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[3\],49.44
clknet_leaf_28_clk,49.28
clknet_leaf_33_clk,48.98
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.psum_out\[9\],48.96
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[9\],48.92
_0792_,48.895
clknet_leaf_59_clk,48.82
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[4\],48.515
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.w_buffer\[1\],48.26
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.psum_out\[5\],48.22
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[8\],48.1
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.act_val\[1\],48
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.w_reg\[1\],47.96
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.psum_out\[8\],47.96
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[10\],47.9
_0780_,47.86
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[4\],47.72
_0737_,47.7
_2859_,47.6
clknet_leaf_74_clk,47.6
_0723_,47.5
_1257_,47.46
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[2\],47.44
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[3\],47.16
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.move_reg\[12\],46.84
_2784_,46.7
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[10\],46.66
u_pe_array.g_pe_row\[3\].g_pe_col\[0\].u_pe.act_val\[4\],46.54
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[1\],46.36
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[2\],46.24
_1657_,46.18
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[9\],46.16
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[0\],45.94
u_fsm.cnt\[0\],45.78
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.psum_out\[10\],45.73
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[4\],45.7
_0997_,45.1
net85,45.035
clknet_leaf_43_clk,44.86
_2858_,44.71
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[0\],44.54
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.act_val\[1\],44.52
u_pe_array.u_fifo2.rd_ptr\[2\],44.34
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.w_buffer\[0\],44.28
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.psum_out\[7\],43.86
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.w_buffer\[0\],43.6
_1395_,43.52
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[4\],43.52
_2275_,43.32
_2857_,43.1
clknet_leaf_11_clk,43.08
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[4\],42.88
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[7\],42.86
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.psum_out\[10\],42.78
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[5\],42.76
_1137_,42.58
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.act_val\[4\],42.54
_0999_,42.52
clknet_leaf_57_clk,42.52
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[9\],42.44
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[0\],42.32
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.act_val\[2\],42.22
_0801_,42.14
net92,41.945
_1226_,41.78
_0785_,41.64
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[3\],41.16
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.act_val\[2\],41.1
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.psum_out\[9\],40.94
clknet_leaf_69_clk,40.92
_1350_,40.815
_0736_,40.7
_1566_,40.48
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.psum_out\[8\],40.455
u_fsm.cnt\[1\],40.355
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.psum_out\[4\],40.35
clknet_leaf_46_clk,40.32
_0720_,40.26
_2604_,40.16
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.psum_out\[2\],40.12
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[8\],39.92
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.psum_out\[10\],39.525
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.w_buffer\[0\],39.5
_1050_,39.38
clknet_leaf_71_clk,39.18
_2024_,38.94
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.psum_out\[10\],38.93
_2601_,38.78
_0877_,38.66
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.move_reg\[8\],38.66
clknet_leaf_50_clk,38.58
_1824_,38.56
net106,38.44
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.psum_out\[9\],38.26
_1005_,38.2
net107,38.2
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.act_val\[0\],38.1
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.psum_out\[5\],38.06
_1140_,37.84
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.psum_out\[9\],37.68
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[5\],37.62
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.move_reg\[12\],37.52
_1394_,37.46
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[6\],37.46
_2140_,37.36
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[0\],37.36
_0850_,37.185
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.psum_out\[10\],37.1
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[3\],37.06
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.act_val\[5\],36.98
u_pe_array.g_pe_row\[1\].g_pe_col\[3\].u_pe.act_val\[1\],36.96
_0814_,36.8
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.move_reg\[8\],36.78
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.move_reg\[7\],36.72
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[5\],36.68
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[8\],36.555
_1003_,36.44
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.psum_out\[11\],36.4
u_pe_array.g_pe_row\[0\].g_pe_col\[3\].u_pe.act_val\[3\],36.38
_2606_,36.28
_2828_,36.16
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.move_reg\[7\],36.1
_1103_,36.06
_2903_,36.06
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.w_buffer\[0\],36.02
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.psum_out\[1\],35.96
u_pe_array.g_pe_row\[2\].g_pe_col\[2\].u_pe.psum_out\[12\],35.96
_3105_,35.86
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.psum_out\[9\],35.8
_2709_,35.58
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[4\],35.58
_3380_,35.56
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[1\],35.56
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[1\],35.28
net214,35.28
_1125_,35.26
_1396_,35.26
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.psum_out\[8\],35.26
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.move_reg\[12\],35.18
u_pe_array.g_pe_row\[0\].g_pe_col\[1\].u_pe.act_val\[1\],35.14
_0759_,35.1
_2529_,35.035
u_pe_array.g_pe_row\[0\].g_pe_col\[0\].u_pe.psum_out\[4\],34.96
u_pe_array.g_pe_row\[1\].g_pe_col\[2\].u_pe.psum_out\[6\],34.94
_2864_,34.76
u_pe_array.g_pe_row\[1\].g_pe_col\[0\].u_pe.psum_out\[8\],34.75
clknet_leaf_60_clk,34.72
_2731_,34.68
_0809_,34.64
u_pe_array.g_pe_row\[3\].g_pe_col\[3\].u_pe.psum_out\[4\],34.58
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[3\],34.555
_2189_,34.54
_0852_,34.52
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.psum_out\[10\],34.5
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.psum_out\[9\],34.255
