net,length_um
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.move_reg\[8\],109.3
_2357_,108.34
clknet_leaf_62_clk,107.68
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.move_reg\[7\],107.43
clknet_leaf_12_clk,107.4
clknet_leaf_104_clk,107.28
_0858_,106.89
net25,106.16
_3246_,106.06
clknet_leaf_77_clk,104.96
_2152_,104.68
_2371_,104.68
_2004_,104.18
u_pe_array.g_pe_row\[3\].g_pe_col\[2\].u_pe.w_out\[0\],103.96
u_pe_array.g_pe_row\[2\].g_pe_col\[3\].u_pe.act_val\[2\],103.16
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[1\],102.82
clknet_leaf_8_clk,102.46
clknet_leaf_67_clk,102.2
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.act_val\[2\],102.16
clknet_leaf_9_clk,102.09
_2322_,101.005
u_pe_array.g_pe_row\[0\].g_pe_col\[2\].u_pe.act_val\[0\],100.76
_3231_,100.6
u_pe_array.act_from_up\[12\]\[1\],100.58
_2280_,100.49
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[0\],100.36
clknet_leaf_38_clk,100.18
clknet_leaf_13_clk,100.14
clknet_leaf_76_clk,100.14
_2378_,99.96
_2272_,99.32
_3236_,99.24
clknet_leaf_14_clk,99
u_pe_array.g_pe_row\[2\].g_pe_col\[1\].u_pe.psum_out\[9\],98.6
clknet_leaf_17_clk,98.19
_1437_,97.94
net425,97.48
clknet_leaf_61_clk,97.42
u_pe_array.g_pe_row\[2\].g_pe_col\[0\].u_pe.act_val\[1\],97.38
u_pe_array.g_pe_row\[1\].g_pe_col\[1\].u_pe.move_reg\[9\],97.28
net185,97.24
clknet_leaf_5_clk,96.98
clknet_leaf_66_clk,96.84
_1120_,96.49
clknet_leaf_28_clk,96.38
_2007_,96.25
u_pe_array.g_pe_row\[3\].g_pe_col\[1\].u_pe.move_reg\[6\],96.21
clknet_leaf_65_clk,95.7
clknet_leaf_44_clk,95.54
